因子名,因子类型,因子说明,因子备注
comp_code,string,公司ID,自定义的用来识别公司的唯一编码
report_period,string,截止日期,公司公布报告结束日期
ann_date,string,公告日期,公告发布当天的日期；有多个阶段的事件，首次披露该事件的日期；该财报首次披露日期；
or_ttm,double,营业收入(TTM),企业从事主营业务或其他业务所取得的收入(TTM)
cost_ttm,double,营业成本-非金融类(TTM),非金融企业的营业成本，也称经营成本，指企业所销售商品或者提供劳务的成本(TTM)
expense_ttm,double,营业支出-金融类(TTM),金融企业经营金融业务所发生的营业支出(TTM)
gross_margin_ttm,double,毛利(TTM),一般企业营业收入与营业成本之差(TTM)
operate_income_ttm,double,经营活动净收益(TTM),指企业经营活动产生的收入与成本之间的差额；“经营活动净收益”是 定义的指标，等于企业生产经营收入扣减生产成本和运营成本后的盈利，反映企业实体经营的获利能力；(TTM)
invest_income_ttm,double,价值变动净收益(TTM),指企业由于公允价值变动、投资及汇兑产生的收益(TTM)
op_ttm,double,营业利润(TTM),是企业营业收入减去营业成本、期间费用和各种流转税及附加税后的余额，是利润总额的主要来源(TTM)
ebt_ttm,double,利润总额(TTM),“亏损总额”的对称，企业在一定时期内通过生产经营活动所实现的最终财务成果，是衡量企业经营业绩的一项十分重要的经济指标(TTM)
profit_ttm,double,净利润(TTM),指企业当期利润总额减去所得税后的金额，即税后利润净利润是企业经营的最终成果(TTM)
netprofit_ttm,double,归属于母公司的净利润(TTM),归属于母公司所有者的净利润，是反映在企业合并净利润中，归属于母公司股东所有的那部分净利润(TTM)
gr_ttm,double,营业总收入 (TTM),企业在从事销售商品、提供劳务和让渡资产使用权等日常经营业务过程中所形成的经济利益的总流入(TTM)
gc_ttm,double,营业总成本 (TTM),公司营业的过程中发生的成本（都和日常经营过程相关），包括直接成本和间接成本，也包括经常性的和偶发性的(TTM)
cashflow_ttm,double,现金净流量 (TTM),一定时期内，现金及现金等价物的流入减去流出的余额(TTM)
operate_cashflow_ttm,double,经营活动现金净流量(TTM),即经营活动产生的现金流量净额，是经营活动现金流入与经营活动现金流出之差，该指标可以反映出企业的财务状况(TTM)
