因子名,因子说明,因子类别,因子类别2,因子周期,因子备注
concept_factor_3d,概念3日ma因子,另类因子,舆情热度因子,d,3日投资概念舆情热度因子-通过每日市场全量舆情量化舆情热度来衡量股票市场的大众预期，捕捉并量化舆情热度的变化，进而把握市场投资机会。从每日市场全量舆情统计出发，按照投资概念进行划分，根据T-3日统计得出舆情值（本因子值不包含当日舆情数据），再根据概念-股票的映射关系计算个股日频的综合舆情因子值。
net_profit_to_total_operate_revenue_ttm,净利润与营业总收入之比,质量类因子,,d, 净利润与营业总收入之比=净利润（TTM）/营业总收入（TTM）
PSY,心理线指标,情绪类因子,,d, n日内连续上涨的天数/n *100。 本因子的计算窗口为12日。
VROC12,12日量变动速率指标,情绪类因子,,d, 成交量减N日前的成交量，再除以N日前的成交量，放大100倍，得到VROC值 ，n=12
TVMA6,6日成交金额的移动平均值,情绪类因子,,d, 6日成交金额的移动平均值
net_non_operating_income_to_total_profit,营业外收支利润净额/利润总额,质量类因子,,d, 营业外收支利润净额/利润总额
operating_revenue_growth_rate,营业收入增长率,成长类因子,,d, 营业收入增长率=（今年营业收入（TTM）/去年营业收入（TTM））-1
VEMA10,成交量的10日指数移动平均,情绪类因子,,d,
VR,成交量比率,情绪类因子,,d, VR=（AVS+1/2CVS）/（BVS+1/2CVS）
VOL5,5日平均换手率,情绪类因子,,d," 5日换手率的均值,单位为%"
BR,意愿指标,情绪类因子,,d, BR=N日内（当日最高价－昨日收盘价）之和 / N日内（昨日收盘价－当日最低价）之和×100 n设定为26
account_receivable_turnover_days,应收账款周转天数,质量类因子,,d, 应收账款周转天数=360/应收账款周转率
TVMA20,20日成交金额的移动平均值,情绪类因子,,d, 20日成交金额的移动平均值
VDIFF,计算VMACD因子的中间变量,情绪类因子,,d, EMA(VOLUME，SHORT)-EMA(VOLUME，LONG) short设置为12，long设置为26，M设置为9
WVAD,威廉变异离散量,情绪类因子,,d, (收盘价－开盘价)/(最高价－最低价)×成交量，再做加和，使用过去6个交易日的数据
DEGM,毛利率增长,质量类因子,,d, 毛利率增长=(今年毛利率（TTM）/去年毛利率（TTM）)-1
sale_expense_to_operating_revenue,营业费用与营业总收入之比,质量类因子,,d, 营业费用与营业总收入之比=销售费用（TTM）/营业总收入（TTM）
VSTD10,10日成交量标准差,情绪类因子,,d, 10日成交量去标准差
operating_tax_to_operating_revenue_ratio_ttm,销售税金率,质量类因子,,d, 销售税金率=营业税金及附加（TTM）/营业收入（TTM）
inventory_turnover_days,存货周转天数,质量类因子,,d, 存货周转天数=360/存货周转率
OperatingCycle,营业周期,质量类因子,,d, 应收账款周转天数+存货周转天数
net_operating_cash_flow_coverage,净利润现金含量,质量类因子,,d, 经营活动产生的现金流量净额/归属于母公司所有者的净利润
quick_ratio,速动比率,质量类因子,,d, 速动比率=(流动资产合计-存货)/ 流动负债合计
intangible_asset_ratio,无形资产比率,质量类因子,,d, 无形资产比率=(无形资产+研发支出+商誉)/总资产
debt_to_equity_ratio,产权比率,质量类因子,,d, 产权比率=负债合计/归属母公司所有者权益合计
VOL10,10日平均换手率,情绪类因子,,d," 10日换手率的均值,单位为%"
VDEA,计算VMACD因子的中间变量,情绪类因子,,d, EMA(VDIFF，M)    short设置为12，long设置为26，M设置为9
super_quick_ratio,超速动比率,质量类因子,,d, （货币资金+交易性金融资产+应收票据+应收帐款+其他应收款）／流动负债合计
inventory_turnover_rate,存货周转率,质量类因子,,d, 存货周转率=营业成本（TTM）/存货
operating_profit_growth_rate,营业利润增长率,质量类因子,,d, 营业利润增长率=(今年营业利润（TTM）/去年营业利润（TTM）)-1
VSTD20,20日成交量标准差,情绪类因子,,d, 20日成交量去标准差
long_debt_to_working_capital_ratio,长期负债与营运资金比率,质量类因子,,d, 长期负债与营运资金比率=非流动负债合计/(流动资产合计-流动负债合计)
current_ratio,流动比率,质量类因子,,d, 流动比率=流动资产合计/流动负债合计
net_operate_cash_flow_to_net_debt,经营活动产生现金流量净额/净债务,质量类因子,,d, 经营活动产生现金流量净额/净债务
net_operate_cash_flow_to_asset,总资产现金回收率,质量类因子,,d, 经营活动产生的现金流量净额(ttm) / 总资产
non_current_asset_ratio,非流动资产比率,质量类因子,,d, 非流动资产比率=非流动资产合计/总资产
net_asset_per_share,每股净资产,每股指标因子,,d, 归属母公司所有者权益合计除以总股本
total_asset_turnover_rate,总资产周转率,质量类因子,,d, 总资产周转率=营业收入(ttm)/总资产
long_debt_to_asset_ratio,长期借款与资产总计之比,质量类因子,,d, 长期借款与资产总计之比=长期借款/总资产
VOL20,20日平均换手率,情绪类因子,,d," 20日换手率的均值,单位为%"
total_operating_revenue_per_share,每股营业总收入,每股指标因子,,d, 每股营业总收入
debt_to_tangible_equity_ratio,有形净值债务率,质量类因子,,d, 负债合计/有形净值  其中有形净值=股东权益-无形资产净值，无形资产净值= 商誉+无形资产
VMACD,成交量指数平滑异同移动平均线,情绪类因子,,d," 快的指数移动平均线（EMA12）减去慢的指数移动平均线（EMA26）得到快线DIFF, 由DIFF的M日移动平均得到DEA，由DIFF-DEA的值得到MACD"
ROAEBITTTM,总资产报酬率,质量类因子,,d, （利润总额（TTM）+利息支出（TTM）） / 总资产在过去12个月的平均
operating_profit_ratio,营业利润率,质量类因子,,d, 营业利润率=营业利润（TTM）/营业收入（TTM）
long_term_debt_to_asset_ratio,长期负债与资产总计之比,质量类因子,,d, 长期负债与资产总计之比=非流动负债合计/总资产
current_asset_turnover_rate,流动资产周转率TTM,质量类因子,,d, 过去12个月的营业收入/过去12个月的平均流动资产合计
financial_expense_rate,财务费用与营业总收入之比,质量类因子,,d,  = 财务费用（TTM） / 营业总收入（TTM）
operating_profit_to_total_profit,经营活动净收益/利润总额,质量类因子,,d, 经营活动净收益/利润总额
EBIT,息税前利润,基础科目及衍生类因子,,d, =净利润+所得税+财务费用
debt_to_asset_ratio,债务总资产比,质量类因子,,d, 债务总资产比=负债合计/总资产
equity_to_fixed_asset_ratio,股东权益与固定资产比率,质量类因子,,d, 股东权益与固定资产比率=股东权益/(固定资产+工程物资+在建工程)
