因子名,因子含义
admin_expense_to_gr,管理费用/营业总收入
ar_turn,应收账款周转率
ar_turndays,应收账款周转天数
assets_to_equity,权益乘数
assets_turn,总资产周转率
bps,每股净资产
ca_to_assets,流动资产/总资产
ca_turn,流动资产周转率
capitalized_to_da,资本支出/折旧和摊销
cash_ratio,保守速动比率
cash_to_liqdebt,货币资金／流动负债
cash_to_liqdebt_with_interest,货币资金／带息流动负债
cfps,每股现金流量净额
cogs_to_sales,销售成本率
comp_code,公司ID
currency_code,货币代码
current_debt_to_debt,流动负债/负债合计
current_ratio,流动比率
debt_to_assets,资产负债率
debt_to_equity,产权比率
deducted_profit,扣除非经常性损益后的净利润(扣除少数股东损益)
deducted_profit_to_profit,扣除非经常损益后的净利润/净利润
dupont_assets_to_equity,权益乘数(用于杜邦分析)
dupont_roa,总资产净利率(杜邦分析)
ebit,息税前利润
ebit_to_gr,息税前利润/营业总收入
ebit_to_interest,已获利息倍数(EBIT/利息费用)
ebitda,息税折旧摊销前利润
ebitda_to_debt,息税折旧摊销前利润/负债合计
ebitps,每股息税前利润
eps_basic,基本每股收益
eps_diluted,稀释每股收益
eps_diluted2,期末摊薄每股收益
equity_to_interest_debt,归属于母公司的股东权益/带息债务
equity_to_totalcap,归属于母公司的股东权益/全部投入资本
equity_tod_ebt,归属于母公司的股东权益/负债合计
exchange_int,交易市场代码
exchange_str,交易市场
exinterest_debt_current,无息流动负债
exinterest_debt_noncurrent,无息非流动负债
expense_to_sales,销售期间费用率
extra_ordinary,非经常性损益
fa_turn,固定资产周转率
fcfe,股权自由现金流量(FCFE)
fcfeps,每股股东自由现金流量
fcff,企业自由现金流量(FCFF)
fcffps,每股企业自由现金流量
fina_expense_to_gr,财务费用/营业总收入
gc_to_gr,营业总成本/营业总收入
gross_margin,毛利
gross_profit_margin,销售毛利率
grps,每股营业总收入
impair_to_gr_ttm,资产减值损失/营业总收入
intdebt_to_totalcap,带息债务/全部投入资本
interest_debt,带息债务
inv_turn,存货周转率
inv_turndays,存货周转天数
invest_capital,全部投入资本
invest_income,价值变动净收益
invest_income_to_ebt,价值变动净收益/利润总额
long_debt_to_debt,非流动负债/负债合计
longdebt_to_working_capital,长期债务与营运资金比率
market_code,代码
nca_to_assets,非流动资产/总资产
net_debt,净债务
net_profit_margin,销售净利率
networking_capital,营运流动资本
nonop_profit,非营业利润
nonoperate_profit_to_ebt,营业外收支净额/利润总额
nop_to_ebt,非营业利润／利润总额
ocf_to_debt,经营活动产生的现金流量净额/负债合计
ocf_to_interest_debt,经营活动产生的现金流量净额/带息债务
ocf_to_netdebt,经营活动产生的现金流量净额/净债务
ocf_to_operate_income,经营活动产生的现金流量净额/经营活动净收益
ocf_to_or,经营活动产生的现金流量净额/营业收入
ocf_to_profit,经营活动产生的现金流量净额／营业利润
ocf_to_short_debt,经营活动产生的现金流量净额/流动负债
ocfps,每股经营活动产生的现金流量净额
op_to_debt,营业利润／负债合计
op_to_ebt,营业利润／利润总额
op_to_gr,营业利润/营业总收入
op_to_liqdebt,营业利润／流动负债
operate_income,经营活动净收益
operate_income_to_ebt,经营活动净收益/利润总额
orps,每股营业收入
prefin_expense_opprofit,扣除财务费用前营业利润
profit_to_gr,净利润/营业总收入
profit_toop,利润总额／营业收入
q_admin_expense_to_gr,单季度.管理费用／营业总收入
q_cgr_gr,单季度.营业总收入环比增长率(%)
